CD_ESTACAO,NOME,SG_ESTADO,WIND_SPEED_mean,WIND_SPEED_120m_mean,WIND_SPEED_median,WIND_SPEED_120m_median,WIND_SPEED_std,WIND_SPEED_120m_std,MINIMUM_DATE,DATASET_SIZE,NON_NULL_RATIO,NON_NULL_DATASET_SIZE,NULL_CELLS_QUANTITY,LATITUDE,LONGITUDE,ALTITUDE
A423,REMANSO,BA,3.161019762845849,4.932382916835038,3.1,4.8371690749642005,1.79398772013699,2.7992973937781223,2018-01-01,25300,0.6673517786561265,16884,8592,-9.62555554,-42.07722221,397.4
A450,JEREMOABO,BA,2.581704623352883,4.028432827346666,2.5,3.900942802390484,1.3638264202292454,2.128083543081302,2018-01-01,26261,0.9205285404211568,24174,4739,-10.08083332,-38.34583333,261.0
A329,CABROBO,PE,1.6974022771178428,2.6485876782736266,0.7,1.0922639846693354,2.0585002728270276,3.212036729201377,2018-01-01,24330,0.7839293053842992,19073,28635,-8.504,-39.31528,342.74
A365,CANTO DO BURITI,PI,2.484677954113435,3.8770346325428466,2.1,3.2767919540080066,1.5391037584456502,2.4015822914562803,2018-03-24,23289,0.9648331830477908,22470,3264,-8.11805554,-42.97583332,312.07
A453,NOSSA SENHORA DA GLORIA,SE,2.6157202505219206,4.081510033736208,2.5,3.900942802390484,1.036932190304675,1.6180052657344088,2018-01-01,24796,0.3708662687530247,9196,63075,-10.20777777,-37.43194443,271.0
A417,ITABAIANINHA,SE,2.524891730253661,3.939783288779309,2.4,3.7449050902948646,1.2113743454129262,1.8902008134956156,2018-01-01,19401,0.48920158754703363,9491,21607,-11.2725,-37.795,204.8
A334,MONTEIRO,PB,2.812677155650495,4.3888370823131755,2.8,4.3690559386773415,1.7604806391313004,2.7470137111868183,2018-01-01,24343,0.46567801832148875,11336,13300,-7.89444444,-37.12472221,606.39
A374,CORRENTE,PI,1.5195276737411567,2.371036216765489,1.3,2.028490257243052,1.0419697439797235,1.6258657492345434,2018-03-28,19236,0.959503015179871,18457,1118,-10.42916666,-45.17305554,452.0
A446,ITAPETINGA,BA,2.0323141943344503,3.1711765714339957,1.7,2.6526411056255292,1.3086990985958202,2.0420641316649117,2018-01-01,26264,0.9326835211696619,24496,1807,-15.24472221,-40.22944443,271.48
A401,SALVADOR,BA,1.417569674156876,2.2119432869157163,1.3,2.028490257243052,0.6637693680037368,1.035730535424583,2018-01-01,26309,0.9666273898665856,25431,921,-13.005515,-38.50576,47.56
A349,IBIMIRIM,PE,2.9787350359138065,4.64794999943053,2.7,4.213018226581723,1.5002214330437598,2.340911200489597,2018-01-01,25060,0.8268555466879489,20721,4341,-8.50944444,-37.71166666,434.23
A219,TURIACU,MA,2.3693248333816284,3.697040262122039,2.3,3.5888673781992453,1.3300342737140356,2.075355050790969,2018-01-01,17255,0.5998261373514924,10350,6939,-1.66111111,-45.37249999,35.86
A327,PALMEIRA DOS INDIOS,AL,2.099934058687768,3.276689060693074,2.0,3.1207542419123873,1.6899427564237293,2.636948012849233,2018-01-01,24264,0.7410979228486647,17982,31568,-9.42027777,-36.62027777,278.01
A404,LUIZ EDUARDO MAGALHAES,BA,2.4030814524043183,3.749713318125878,2.3,3.5888673781992453,1.6195977305323792,2.527183243875299,2018-01-01,25476,0.8979431621918669,22876,5013,-12.1525,-45.82972221,760.68
A371,PIRANHAS,AL,2.9188347688347687,4.554482993141233,2.9,4.525093650772962,1.8603678227016545,2.90287538710675,2018-01-01,20207,0.9783738308506953,19770,1256,-9.62222221,-37.76722221,187.0
A458,RIBEIRA DO AMPARO,BA,2.4008276533592996,3.7461965416607974,2.2,3.4328296661036264,1.8934497011201972,2.9544955933092982,2018-09-26,16432,0.9724926971762414,15980,484,-11.05861111,-38.44416666,182.0
A370,SALGUEIRO,PE,2.21016360671261,3.448688725484379,2.3,3.5888673781992453,1.461853190720481,2.281042272997049,2018-01-01,19016,0.9143352965923432,17387,2394,-8.05805555,-39.0961111,447.0
A434,AMARGOSA,BA,1.1124474081130427,1.7358374838866093,0.0,0.0,1.7656996495339679,2.7551573356131733,2018-01-01,25194,0.89564975787886,22565,11141,-13.009468,-39.616881,397.8
A312,TERESINA,PI,1.2516102432543863,1.9529839879285606,1.1,1.7164148330518132,1.028818214571605,1.6053444036405322,2018-01-01,21830,0.9574896930829134,20902,939,-5.03472221,-42.80138888,75.23
A431,CONDE,BA,3.5516693406677367,5.541943580379506,3.7,5.7733953475379165,1.5957256584517914,2.4899338087709326,2018-01-01,26179,0.9437717254287787,24707,4425,-12.03583333,-37.68388888,31.9
A304,NATAL,RN,3.8698403426791277,6.038410332469787,3.8,5.929433059633536,1.4686711248825541,2.291680821475734,2018-01-01,25680,0.9027258566978194,23182,2530,-5.83722221,-35.20805555,47.46
A418,BOM JESUS DA LAPA,BA,1.3158960737112977,2.0532941269751936,1.2,1.8724525451474323,1.0050396358166525,1.5682408533824495,2018-01-01,24096,0.9104000664010624,21937,3282,-13.25111111,-43.40527777,447.75
A375,BAIXA GRANDE DO RIBEIRO,PI,2.105770518141652,3.2857961384923033,1.9,2.964716529816768,1.7101205679856057,2.66843300836135,2018-03-23,22407,0.5447851117954211,12207,58869,-8.333531,-45.094625,519.0
A343,PICOS,PI,1.9698759598346132,3.0737493788475523,1.7,2.6526411056255292,1.1525631622728796,1.798433188867522,2018-01-01,22010,0.7125397546569741,15683,22076,-7.0711111,-41.40416666,232.91
